,series_description,country,year,value,source,nature,age,location,sex
314,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Costa Rica,2017,82,INEC based on National time use survey 2017,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,0
315,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Costa Rica,2017,154,INEC based on National time use survey 2017,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,1
316,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Costa Rica,2017,101,INEC based on National time use survey 2017,C,15+,URBAN,0
317,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Costa Rica,2017,144,INEC based on National time use survey 2017,C,65+,URBAN,0
318,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Costa Rica,2017,255,INEC based on National time use survey 2017,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
319,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Costa Rica,2017,95,INEC based on National time use survey 2017,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,0
320,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Denmark,2009,135,Calculated by UNSD based on available country data from the Danish Time-Use and Consumption Survey to apply ICATUS.,CA,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",ALLAREA,0
321,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Denmark,2009,178,Calculated by UNSD based on available country data from the Danish Time-Use and Consumption Survey to apply ICATUS.,CA,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",ALLAREA,1
322,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Dominican Republic,2016,115,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",CA,15+,ALLAREA,1
323,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Dominican Republic,2016,31,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",CA,15+,ALLAREA,0
324,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Ecuador,2012,230,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",CA,15+,ALLAREA,1
325,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Ecuador,2012,51,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",CA,15+,ALLAREA,0
326,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",El Salvador,2010,100,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",CA,15+,ALLAREA,0
327,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",El Salvador,2010,276,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",CA,15+,ALLAREA,1
328,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Ethiopia,2013,231,Calculated by UNSD based on available country data from the Ethiopian Time Use Survey to apply ICATUS.,CA,10+,ALLAREA,1
329,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Ethiopia,2013,87,Calculated by UNSD based on available country data from the Ethiopian Time Use Survey to apply ICATUS.,CA,10+,ALLAREA,0
330,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Estonia,2010,204,Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.,CA,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
331,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Estonia,2010,288,Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.,CA,65+,ALLAREA,1
332,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Estonia,2010,144,Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.,CA,10+,ALLAREA,0
333,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Estonia,2010,217,Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.,CA,10+,ALLAREA,1
334,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Estonia,2010,245,Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.,CA,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
335,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,144,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
336,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,103,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,65+,ALLAREA,1
337,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,44,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,65+,ALLAREA,0
338,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,105,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
339,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,41,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,0
340,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,152,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,15+,RURAL,1
341,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,50,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,15+,RURAL,0
342,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,45,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,65+,URBAN,0
343,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,48,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,0
344,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,161,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
345,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,107,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,65+,RURAL,1
346,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,42,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,65+,RURAL,0
347,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,88,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,1
348,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,43,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,0
349,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,51,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
350,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,51,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
351,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,167,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
352,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,49,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
353,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,156,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
354,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,48,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,0
355,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,99,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,65+,URBAN,1
356,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,45,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,0
357,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,131,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,15+,URBAN,1
358,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,95,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
359,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,42,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
360,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,140,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,15+,ALLAREA,1
361,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,47,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,15+,ALLAREA,0
362,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,159,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
363,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,176,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,1
364,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,53,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,0
365,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,154,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
366,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,174,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,1
367,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,152,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,1
368,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,55,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
369,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,45,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,15+,URBAN,0
370,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Fiji,2016,55,Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,0
371,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,238,Statistics Finland  based on Time Use Survey,C,65+,ALLAREA,1
372,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,195,Statistics Finland  based on Time Use Survey,C,65+,ALLAREA,0
373,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,242,Statistics Finland  based on Time Use Survey,C,15+,RURAL,1
374,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,155,Statistics Finland  based on Time Use Survey,C,15+,RURAL,0
375,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,296,Statistics Finland  based on Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,1
376,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,199,Statistics Finland  based on Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
377,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,215,Statistics Finland  based on Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,1
378,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,151,Statistics Finland  based on Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,0
379,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,241,Statistics Finland  based on Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,1
380,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,134,Statistics Finland  based on Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,0
381,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,174,Statistics Finland  based on Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
382,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,115,Statistics Finland  based on Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,0
383,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,135,Statistics Finland  based on Time Use Survey,C,15+,URBAN,0
384,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,189,Statistics Finland  based on Time Use Survey,C,65+,URBAN,0
385,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,118,Statistics Finland  based on Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
386,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,186,Statistics Finland  based on Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
387,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,188,Statistics Finland  based on Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
388,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,227,Statistics Finland  based on Time Use Survey,C,10+,RURAL,1
389,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,147,Statistics Finland  based on Time Use Survey,C,10+,RURAL,0
390,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,221,Statistics Finland  based on Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
391,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,174,Statistics Finland  based on Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
392,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,138,Statistics Finland  based on Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
393,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,215,Statistics Finland  based on Time Use Survey,C,65+,RURAL,0
394,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,288,Statistics Finland  based on Time Use Survey,C,65+,RURAL,1
395,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,192,Statistics Finland  based on Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
396,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,105,Statistics Finland  based on Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
397,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,93,Statistics Finland  based on Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,1
398,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,182,Statistics Finland  based on Time Use Survey,C,15+,URBAN,1
399,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,73,Statistics Finland  based on Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,0
400,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,128,Statistics Finland  based on Time Use Survey,C,10+,URBAN,0
401,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,207,Statistics Finland  based on Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
402,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,170,Statistics Finland  based on Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,0
403,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,228,Statistics Finland  based on Time Use Survey,C,65+,URBAN,1
404,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,175,Statistics Finland  based on Time Use Survey,C,10+,URBAN,1
405,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,55,Statistics Finland  based on Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,0
406,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,135,Statistics Finland  based on Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,0
407,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,94,Statistics Finland  based on Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
408,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,70,Statistics Finland  based on Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
409,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,192,Statistics Finland  based on Time Use Survey,C,15+,ALLAREA,1
410,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,138,Statistics Finland  based on Time Use Survey,C,15+,ALLAREA,0
411,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,183,Statistics Finland  based on Time Use Survey,C,10+,ALLAREA,1
412,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Finland,2010,132,Statistics Finland  based on Time Use Survey,C,10+,ALLAREA,0
413,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,244,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,65+,ALLAREA,1
414,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,192,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,65+,ALLAREA,0
415,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,90,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
416,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,49,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
417,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,191,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,15+,ALLAREA,1
418,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,119,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,15+,ALLAREA,0
419,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,243,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
420,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,178,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
421,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,179,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
422,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,103,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
423,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,218,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
424,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",France,2010,119,Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
425,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,229,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,15+,URBAN,1
426,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,35,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,10+,URBAN,0
427,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,218,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,15+,RURAL,1
428,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,31,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,15+,RURAL,0
429,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,146,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
430,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,22,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,0
431,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,42,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
432,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,25,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
433,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,157,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
434,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,261,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
435,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,54,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,0
436,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,292,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
437,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,241,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,1
438,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,41,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
439,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,33,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,15+,URBAN,0
440,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",State of Palestine,2013,127,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,C,65+,URBAN,1
